# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=stereotaxic wiring v2 - gerber
# Date=12:32:28
# CreatedBy=Fritzing 1.0.4.2024-10-07.CD-2088-0-a8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Via56,";;;;;;;;","",2230.93,5341.33,0,Top,MANUAL
Via64,";;;;;;;;","",2030.93,5341.33,0,Top,MANUAL
Via76,";;;;;;;;","",3330.93,3141.33,0,Top,MANUAL
S.Trig8,";;;;;;;;","DIP (Dual Inline)",5680.93,1241.33,0,Top,THT
Button_pos_32,";;;;;;;;","",730.931,4341.33,0,Top,MANUAL
RC_output_44,";;;;;;;;","",1330.93,1141.33,0,Top,MANUAL
100kOhm_R20,"100k;;;;;0.25W;;;","THT",7630.93,1541.33,0,Top,THT
Button_pos_26,";;;;;;;;","",730.931,6341.33,0,Top,MANUAL
10kOhm_R18,"10k;;;;;0.25W;;;","THT",7030.93,1941.33,0,Top,THT
RC_output_32,";;;;;;;;","",1330.93,4341.33,0,Top,MANUAL
100kOhm_R1,"100k;;;;;0.25W;;;","THT",7630.93,6441.33,0,Top,THT
Via2,";;;;;;;;","",5230.93,5941.33,0,Top,MANUAL
Button_pos_10,";;;;;;;;","",7330.93,4341.33,0,Top,MANUAL
Via107,";;;;;;;;","",3132.7,3441.33,0,Top,MANUAL
RC_output_12,";;;;;;;;","",6730.93,3941.33,0,Top,MANUAL
Via83,";;;;;;;;","",1930.93,1541.33,0,Top,MANUAL
RC_output_9,";;;;;;;;","",6730.93,4541.33,0,Top,MANUAL
Button_pos_38,";;;;;;;;","",730.931,2741.33,0,Top,MANUAL
Via115,";;;;;;;;","",2332.87,1843.47,0,Top,MANUAL
10kOhm_R47,"10k;;;;;0.25W;;;","THT",1030.93,641.329,0,Top,THT
1uF_cap_13,";1µF;;50V;;;;;","100 mil [THT, multilayer]",6580.74,3441.33,0,Top,THT
10kOhm_R27,"10k;;;;;0.25W;;;","THT",1030.93,6041.33,0,Top,THT
100kOhm_R12,"100k;;;;;0.25W;;;","THT",7630.93,4041.33,0,Top,THT
Via47,";;;;;;;;","",4630.93,2841.33,0,Top,MANUAL
1uF_cap_40,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.75,2241.33,0,Top,THT
Button_pos_24,";;;;;;;;","",7330.93,641.329,0,Top,MANUAL
Button_pos_30,";;;;;;;;","",730.931,5541.33,0,Top,MANUAL
Via88,";;;;;;;;","",3730.93,1741.33,0,Top,MANUAL
Button_pos_8,";;;;;;;;","",7330.93,4741.33,0,Top,MANUAL
10kOhm_R39,"10k;;;;;0.25W;;;","THT",1030.93,2441.33,0,Top,THT
S.Trig6,";;;;;;;;","DIP (Dual Inline)",5680.93,4141.33,0,Top,THT
Clock,";;;;;;;;","",3430.93,6741.33,0,Top,MANUAL
RC_output_20,";;;;;;;;","",6730.93,1441.33,0,Top,MANUAL
Via91,";;;;;;;;","",1830.93,2841.33,0,Top,MANUAL
10kOhm_R7,"10k;;;;;0.25W;;;","THT",7030.93,5041.33,0,Top,THT
100kOhm_R43,"100k;;;;;0.25W;;;","THT",430.931,1441.33,0,Top,THT
Button_pos_46,";;;;;;;;","",730.931,741.329,0,Top,MANUAL
Via48,";;;;;;;;","",6430.8,1741.46,0,Top,MANUAL
Via69,";;;;;;;;","",3630.93,4441.33,0,Top,MANUAL
100kOhm_R22,"100k;;;;;0.25W;;;","THT",7630.93,1141.33,0,Top,THT
100kOhm_R47,"100k;;;;;0.25W;;;","THT",430.931,641.329,0,Top,THT
Button_pos_12,";;;;;;;;","",7330.93,3941.33,0,Top,MANUAL
RC_output_15,";;;;;;;;","",6730.93,2941.33,0,Top,MANUAL
1uF_cap_41,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.75,1841.33,0,Top,THT
Via95,";;;;;;;;","",3130.93,2341.33,0,Top,MANUAL
SchT_only43,";;;;;;;;","",2130.93,1141.33,0,Top,MANUAL
Button_pos_6,";;;;;;;;","",7330.93,5541.33,0,Top,MANUAL
